Cust_Id,Calendar_Dt,Amt_LE
6091536,12/17/2019,6.92
6091536,12/18/2019,7.39
6091536,12/19/2019,17.68
6091536,12/20/2019,10.14
6091536,12/21/2019,13.1
6091536,12/22/2019,14.99
6091536,12/23/2019,13.6
6091536,12/24/2019,6.99
6091536,12/25/2019,3.81
6091536,12/26/2019,10.05
6091536,12/27/2019,6.99
6091536,12/28/2019,78.04
6091536,12/29/2019,34.18
6091536,12/30/2019,6.58
6091536,12/31/2019,38.82
6136366,11/2/2019,86.04
6136366,11/3/2019,30.25
6136366,11/7/2019,0
6136366,11/19/2019,0.02
6136366,12/17/2019,0.04
6136366,12/18/2019,66.34
6136366,12/19/2019,0.78
6136366,12/20/2019,0.1
6136366,12/27/2019,74.6
6138540,11/2/2019,1.28
6138540,11/3/2019,44.19
6138540,11/5/2019,0.98
6138540,11/8/2019,0.32
6138540,11/11/2019,45.14
6138540,11/12/2019,0.32
6138540,11/13/2019,217.01
6138540,11/14/2019,24.67
6138540,11/15/2019,8.05
6138540,11/16/2019,0.32
6138540,11/19/2019,40.03
6138540,11/20/2019,117.47
6138540,11/21/2019,0.32
6138540,11/22/2019,61.47
6138540,11/23/2019,38.42
6138540,11/24/2019,63.06
6138540,11/25/2019,1.28
6138540,11/26/2019,0.32
6138540,11/29/2019,2.57
6138540,12/3/2019,0.02
6138540,12/4/2019,39.38
6138540,12/5/2019,0.01
6138540,12/6/2019,16.32
6138540,12/7/2019,7.37
6138540,12/8/2019,91.54
6138540,12/11/2019,32.71
6138540,12/15/2019,0.32
6138540,12/18/2019,0
6138540,12/21/2019,0.32
6138540,12/22/2019,0.32
6138540,12/23/2019,0.32
6138540,12/25/2019,0.32
6138540,12/26/2019,0.64
6138540,12/30/2019,0.32
6138540,12/31/2019,0.64
6147170,11/1/2019,0.21
6147170,11/2/2019,768.88
6147170,11/3/2019,899.18
6147170,11/4/2019,749.2
6147170,11/5/2019,536.61
6147170,11/6/2019,96.76
6147170,11/7/2019,121.9
6147170,11/8/2019,214.73
6147170,11/9/2019,173.49
6147170,11/10/2019,129.62
6147170,11/11/2019,65.39
6147170,11/12/2019,116.82
6147170,11/13/2019,119.8
6147170,11/14/2019,69.57
6147170,11/15/2019,1.42
6147170,11/16/2019,0.65
6147170,11/19/2019,1140.72
6147170,11/20/2019,81.48
6147170,11/21/2019,166.82
6147170,11/22/2019,344.61
6147170,11/23/2019,885.31
6147170,11/24/2019,218.8
6147170,11/25/2019,179.94
6147170,11/26/2019,78.53
6147170,11/27/2019,43.33
6147170,11/28/2019,129.34
6147170,11/29/2019,25.98
6147170,11/30/2019,29.7
6147170,12/1/2019,2972.61
6147170,12/2/2019,251.93
6147170,12/3/2019,78.52
6147170,12/4/2019,265.77
6147170,12/5/2019,346.79
6147170,12/6/2019,25.13
6147170,12/7/2019,179.01
6147170,12/8/2019,46.42
6147170,12/10/2019,118.3
6147170,12/11/2019,23.54
6147170,12/12/2019,0.54
6147170,12/14/2019,0
6147170,12/17/2019,1670.53
6147170,12/18/2019,1014.48
6147170,12/19/2019,987.23
6147170,12/20/2019,1014.97
6147170,12/21/2019,17.88
6147170,12/23/2019,430.94
6147170,12/24/2019,36.02
6147170,12/25/2019,78.76
6147170,12/26/2019,21.37
6147170,12/27/2019,39.44
6147170,12/28/2019,641.29
6147170,12/29/2019,163.73
6147170,12/30/2019,216.79
6147170,12/31/2019,329.45
6185529,11/28/2019,232.61
6185529,11/29/2019,768.22
6185529,11/30/2019,104.14
6185529,12/1/2019,341.49
6185529,12/2/2019,43.87
6185529,12/18/2019,193.55
6185529,12/19/2019,130.56
6185529,12/20/2019,126.9
6190675,11/1/2019,4
6190675,11/2/2019,1.14
6190675,11/3/2019,1.71
6190675,11/4/2019,1.14
6190675,11/5/2019,5.14
6190675,11/6/2019,0.57
6190675,11/7/2019,2.29
6190675,11/8/2019,6.29
6190675,11/9/2019,0.57
6190675,11/10/2019,1.14
6190675,11/11/2019,1.71
6190675,11/12/2019,1.14
6190675,11/13/2019,1.14
6190675,11/14/2019,47.76
6190675,11/15/2019,560.79
6190675,11/16/2019,294.72
6190675,11/17/2019,644.48
6190675,11/18/2019,448.36
6190675,11/19/2019,58.57
6190675,11/20/2019,340.46
6190675,11/21/2019,390.54
6190675,11/22/2019,363.27
6190675,11/23/2019,332.19
6190675,11/24/2019,586.34
6190675,11/25/2019,102.4
6190675,11/26/2019,662.37
6190675,11/27/2019,236.88
6190675,11/28/2019,509.29
6190675,11/29/2019,52.52
6190675,11/30/2019,433.32
6190675,12/1/2019,106.36
6190675,12/2/2019,79.96
6190675,12/3/2019,0.2
6190675,12/4/2019,0.39
6190675,12/5/2019,115.79
6190675,12/6/2019,319.96
6190675,12/7/2019,259.38
6190675,12/8/2019,34.09
6190675,12/9/2019,63.18
6190675,12/10/2019,1135.3
6190675,12/11/2019,1278.11
6190675,12/12/2019,4125.93
6190675,12/13/2019,88.53
6190675,12/14/2019,115.61
6190675,12/15/2019,1085.48
6190675,12/16/2019,165.18
6190675,12/17/2019,136.55
6190675,12/18/2019,614.49
6190675,12/19/2019,99.53
6190675,12/20/2019,218.29
6190675,12/21/2019,161.82
6190675,12/22/2019,54.46
6190675,12/23/2019,239.34
6190675,12/24/2019,405.22
6190675,12/25/2019,602.74
6190675,12/26/2019,18.37
6190675,12/27/2019,32.27
6190675,12/28/2019,91.44
6190675,12/29/2019,321.31
6190675,12/30/2019,318.44
6190675,12/31/2019,445.06
6204714,11/5/2019,12.31
6204714,11/7/2019,44.28
6204714,11/27/2019,92.95
6204714,11/28/2019,1.28
6204714,11/30/2019,23.48
6204714,12/6/2019,6.55
6207511,11/10/2019,0.14
6207511,11/11/2019,0.35
6207511,11/12/2019,0.34
6207511,11/13/2019,0.12
6207511,11/20/2019,0
6207511,11/29/2019,0
6207511,12/4/2019,0.01
6232824,11/5/2019,0
6232824,11/6/2019,0.32
6232824,11/13/2019,0.32
6232824,11/15/2019,0
6232824,11/22/2019,0
6232824,11/23/2019,0
6232824,11/26/2019,0
6232824,11/27/2019,0
6232824,12/10/2019,0.32
6232824,12/16/2019,0
6232824,12/19/2019,0
6232824,12/30/2019,0.32
6232824,12/31/2019,0.64
6253443,11/16/2019,0.64
6253443,11/17/2019,0.32
6253443,11/18/2019,1.6
6253443,11/19/2019,1.02
6253443,11/20/2019,371.17
6253443,11/21/2019,125.16
6253443,11/25/2019,3.58
6253443,11/26/2019,15.99
6253443,11/27/2019,10.71
6253443,11/28/2019,4.04
6253443,11/29/2019,0
6253443,11/30/2019,11.32
6253443,12/2/2019,12.59
6253443,12/3/2019,53.18
6253443,12/4/2019,0.96
6253443,12/6/2019,0.32
6253443,12/7/2019,0.96
6253443,12/8/2019,0.64
6253443,12/9/2019,0.32
6253443,12/11/2019,0.96
6253443,12/14/2019,0.64
6253443,12/15/2019,0.64
6253443,12/17/2019,0.32
6253443,12/18/2019,0.32
6253443,12/21/2019,3.06
6253443,12/22/2019,0.96
6253443,12/23/2019,0.32
6253443,12/24/2019,28.6
6253443,12/25/2019,154.97
6253443,12/26/2019,2.98
6253443,12/29/2019,1.92
6253443,12/30/2019,2.56
6253443,12/31/2019,0
6315807,11/1/2019,0.32
6315807,11/3/2019,0.64
6315807,11/4/2019,0.64
6315807,11/6/2019,0.32
6315807,11/7/2019,0.32
6315807,11/8/2019,0.32
6315807,11/9/2019,0.32
6315807,11/12/2019,0.64
6315807,11/14/2019,0.64
6315807,11/17/2019,0.32
6315807,11/21/2019,0.64
6315807,11/24/2019,0.32
6315807,11/27/2019,0.32
6315807,11/28/2019,1.28
6315807,11/29/2019,0.96
6315807,12/3/2019,0.32
6315807,12/6/2019,0.64
6315807,12/10/2019,0.32
6315807,12/11/2019,0.64
6315807,12/17/2019,0
6315807,12/19/2019,0.01
6315807,12/24/2019,0.32
6315807,12/27/2019,1.28
6315807,12/28/2019,0.32
6315807,12/29/2019,0.64
6315807,12/30/2019,0.96
6325628,11/2/2019,170.56
6325628,11/3/2019,100.14
6325628,11/4/2019,122.75
6325628,11/5/2019,85.96
6325628,11/6/2019,73.13
6325628,11/7/2019,98.71
6325628,11/8/2019,71.9
6325628,11/9/2019,53.08
6325628,11/10/2019,17.55
6325628,11/16/2019,156.4
6325628,11/17/2019,132.9
6325628,11/18/2019,195.09
6325628,11/19/2019,144.52
6325628,11/20/2019,132.64
6325628,11/21/2019,114.41
6325628,11/22/2019,86.58
6325628,11/23/2019,123.67
6325628,11/24/2019,108.94
6325628,11/25/2019,0
6325628,11/26/2019,211.71
6325628,11/27/2019,113.52
6325628,11/28/2019,92.26
6325628,11/29/2019,91.46
6325628,11/30/2019,91.67
6325628,12/1/2019,110.94
6325628,12/2/2019,36.38
6325628,12/7/2019,77.89
6325628,12/8/2019,69.72
6325628,12/14/2019,23.38
6325628,12/18/2019,72.26
6325628,12/20/2019,0.64
6325628,12/24/2019,5.66
6325628,12/25/2019,11.85
6325628,12/26/2019,5.75
6325628,12/27/2019,8.89
6339955,12/19/2019,0
6339955,12/20/2019,0
6339955,12/21/2019,0
6339955,12/22/2019,0
6339955,12/28/2019,0
6393096,11/1/2019,15.29
6393096,11/2/2019,0.59
6393096,11/3/2019,30.33
6393096,11/4/2019,332.67
6393096,11/5/2019,588.34
6393096,11/6/2019,305.92
6393096,11/7/2019,27
6393096,11/8/2019,0.1
6393096,11/9/2019,0.1
6393096,11/10/2019,9.1
6393096,11/11/2019,1.28
6393096,11/12/2019,0.1
6393096,11/13/2019,2.25
6393096,11/14/2019,0
6393096,11/15/2019,4.99
6393096,11/16/2019,141.16
6393096,11/17/2019,526.13
6393096,11/18/2019,0.39
6393096,11/19/2019,0.1
6393096,11/21/2019,373.67
6393096,11/22/2019,47.61
6393096,11/24/2019,0.1
6393096,11/25/2019,0.1
6393096,11/26/2019,0.1
6393096,11/28/2019,428.82
6393096,11/29/2019,102.93
6393096,11/30/2019,95.08
6393096,12/1/2019,65.91
6393096,12/2/2019,82.03
6393096,12/3/2019,1564.66
6393096,12/4/2019,1620.43
6393096,12/5/2019,2522.19
6393096,12/6/2019,3004.44
6393096,12/7/2019,50.11
6393096,12/8/2019,40.55
6393096,12/9/2019,0.29
6393096,12/10/2019,35.85
6393096,12/11/2019,36.38
6393096,12/12/2019,37.26
6393096,12/13/2019,168.63
6393096,12/14/2019,162.42
6393096,12/15/2019,95.98
6393096,12/16/2019,512.35
6393096,12/18/2019,376.75
6393096,12/19/2019,69.45
6393096,12/20/2019,429.12
6393096,12/21/2019,0.1
6393096,12/22/2019,1.86
6393096,12/23/2019,0.1
6393096,12/24/2019,80.51
6393096,12/25/2019,9.97
6393096,12/26/2019,0.2
6393096,12/27/2019,54.88
6393096,12/28/2019,270.73
6393096,12/29/2019,788.23
6393096,12/30/2019,350.81
6393096,12/31/2019,165.31
6395395,11/7/2019,1.92
6395395,11/8/2019,25.96
6395395,11/9/2019,10.39
6395395,11/12/2019,24.68
6395395,11/13/2019,2.89
6395395,11/18/2019,19.05
6395395,11/19/2019,8.43
6395395,11/20/2019,7.07
6395395,11/26/2019,67.98
6395395,11/27/2019,5.47
6395395,12/2/2019,3.53
6395395,12/4/2019,3.54
6395395,12/11/2019,240.98
6395395,12/12/2019,3.88
6395395,12/16/2019,9.34
6395395,12/28/2019,3.22
6395395,12/30/2019,7.74
6395395,12/31/2019,8.67
6405004,11/1/2019,884.28
6405004,11/2/2019,2589.13
6405004,11/3/2019,250.02
6405004,11/4/2019,187.64
6405004,11/5/2019,1497.72
6405004,11/6/2019,1517.99
6405004,11/7/2019,1105.63
6405004,11/8/2019,1101.27
6405004,11/9/2019,637.99
6405004,11/10/2019,413.85
6405004,11/11/2019,830.61
6405004,11/12/2019,870.74
6405004,11/13/2019,965.6
6405004,11/14/2019,1016.51
6405004,11/15/2019,979.4
6405004,11/16/2019,937.64
6405004,11/17/2019,334.64
6405004,11/18/2019,477.01
6405004,11/19/2019,290.85
6405004,11/20/2019,288.88
6405004,11/21/2019,230.93
6405004,11/22/2019,613.68
6405004,11/23/2019,1196.14
6405004,11/24/2019,186.04
6405004,11/26/2019,0.01
6405004,11/28/2019,0.11
6405004,11/30/2019,0.92
6405004,12/1/2019,162.87
6405004,12/2/2019,0.19
6405004,12/3/2019,0.11
6405004,12/4/2019,0.01
6405004,12/7/2019,544.24
6405004,12/8/2019,1015.45
6405004,12/9/2019,613.7
6405004,12/10/2019,949.48
6405004,12/11/2019,739.39
6405004,12/12/2019,1475.78
6405004,12/13/2019,680.73
6405004,12/14/2019,1391.19
6405004,12/15/2019,355.93
6405004,12/18/2019,0.98
6405004,12/21/2019,2.27
6405004,12/22/2019,58.34
6405004,12/23/2019,387.66
6405004,12/24/2019,879.7
6405004,12/25/2019,523.24
6405004,12/26/2019,368.2
6405004,12/27/2019,531.75
6405004,12/28/2019,216.34
6405004,12/30/2019,192.3
6405004,12/31/2019,0.37
6510433,11/1/2019,0
6510433,11/8/2019,0.32
